sku,name,description,price,cost,stock_quantity,vendor_category,vendor_subcategory_1,vendor_subcategory_2
"DEMO-000001","Demo Product 1 - Clothing","This is demo product number 1 in the Clothing category.","245.98","285.10","969","Clothing","Women",""
"DEMO-000002","Demo Product 2 - Home & Garden","This is demo product number 2 in the Home & Garden category.","998.11","305.64","477","Home & Garden","Kitchen",""
"DEMO-000003","Demo Product 3 - Sports & Outdoors","This is demo product number 3 in the Sports & Outdoors category.","567.83","446.03","805","Sports & Outdoors","Fitness",""
"DEMO-000004","Demo Product 4 - Books & Media","This is demo product number 4 in the Books & Media category.","549.12","349.59","819","Books & Media","Non-Fiction",""
"DEMO-000005","Demo Product 5 - Electronics","This is demo product number 5 in the Electronics category.","411.33","408.29","297","Electronics","Tablets",""
"DEMO-000006","Demo Product 6 - Clothing","This is demo product number 6 in the Clothing category.","517.64","128.58","67","Clothing","Men",""
"DEMO-000007","Demo Product 7 - Home & Garden","This is demo product number 7 in the Home & Garden category.","285.58","379.07","369","Home & Garden","Decor",""
"DEMO-000008","Demo Product 8 - Sports & Outdoors","This is demo product number 8 in the Sports & Outdoors category.","182.79","399.04","863","Sports & Outdoors","Cycling",""
"DEMO-000009","Demo Product 9 - Books & Media","This is demo product number 9 in the Books & Media category.","891.43","274.32","764","Books & Media","Fiction",""
"DEMO-000010","Demo Product 10 - Electronics","This is demo product number 10 in the Electronics category.","297.73","497.95","237","Electronics","Laptops",""
"DEMO-000011","Demo Product 11 - Clothing","This is demo product number 11 in the Clothing category.","930.67","400.27","50","Clothing","Kids",""
"DEMO-000012","Demo Product 12 - Home & Garden","This is demo product number 12 in the Home & Garden category.","256.55","102.39","925","Home & Garden","Furniture",""
"DEMO-000013","Demo Product 13 - Sports & Outdoors","This is demo product number 13 in the Sports & Outdoors category.","35.59","96.21","405","Sports & Outdoors","Camping",""
"DEMO-000014","Demo Product 14 - Books & Media","This is demo product number 14 in the Books & Media category.","111.32","387.18","232","Books & Media","Educational",""
"DEMO-000015","Demo Product 15 - Electronics","This is demo product number 15 in the Electronics category.","605.43","299.20","947","Electronics","Smartphones",""
"DEMO-000016","Demo Product 16 - Clothing","This is demo product number 16 in the Clothing category.","289.06","469.34","531","Clothing","Women",""
"DEMO-000017","Demo Product 17 - Home & Garden","This is demo product number 17 in the Home & Garden category.","669.54","290.48","522","Home & Garden","Kitchen",""
"DEMO-000018","Demo Product 18 - Sports & Outdoors","This is demo product number 18 in the Sports & Outdoors category.","518.84","287.19","861","Sports & Outdoors","Fitness",""
"DEMO-000019","Demo Product 19 - Books & Media","This is demo product number 19 in the Books & Media category.","979.26","402.59","314","Books & Media","Non-Fiction",""
"DEMO-000020","Demo Product 20 - Electronics","This is demo product number 20 in the Electronics category.","860.72","182.16","825","Electronics","Tablets",""
"DEMO-000021","Demo Product 21 - Clothing","This is demo product number 21 in the Clothing category.","181.07","80.87","389","Clothing","Men",""
"DEMO-000022","Demo Product 22 - Home & Garden","This is demo product number 22 in the Home & Garden category.","604.98","444.85","825","Home & Garden","Decor",""
"DEMO-000023","Demo Product 23 - Sports & Outdoors","This is demo product number 23 in the Sports & Outdoors category.","246.60","165.88","556","Sports & Outdoors","Cycling",""
"DEMO-000024","Demo Product 24 - Books & Media","This is demo product number 24 in the Books & Media category.","751.06","393.13","919","Books & Media","Fiction",""
"DEMO-000025","Demo Product 25 - Electronics","This is demo product number 25 in the Electronics category.","871.23","386.85","398","Electronics","Laptops",""
"DEMO-000026","Demo Product 26 - Clothing","This is demo product number 26 in the Clothing category.","516.20","358.05","626","Clothing","Kids",""
