vendor_category,store_category,vendor_subcategory_1,vendor_subcategory_2,vendor_subcategory_3,vendor_subcategory_4,store_subcategory_1,store_subcategory_2,store_subcategory_3,store_subcategory_4
Audio,Electronics,Speakers,Headphones,,,Speakers,Headphones,,
Cameras & Drones,Electronics,Digital Cameras,Drones,,,Digital Cameras,Drones,,
Computers & Tablets,Electronics,Monitors,Laptops,Tablets,,Monitors,Laptops,Tablets,
Audio,Electronics,Headphones,Speakers,,,Headphones,Speakers,,
Audio,Electronics,Speakers,Speakers,,,Speakers,Speakers,,
Audio,Electronics,Headphones,Headphones,,,Headphones,Headphones,,
Gaming,Electronics,PC Gaming,PC Gaming,,,PC Gaming,PC Gaming,,
Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,
Computers & Tablets,Electronics,Monitors,Laptops,Tablets,,Monitors,Laptops,Tablets,
Computers & Tablets,Electronics,Tablets,Laptops,Laptops,,Tablets,Laptops,Laptops,
Gaming,Electronics,PC Gaming,PC Gaming,,,PC Gaming,PC Gaming,,
Computers & Tablets,Electronics,Laptops,Tablets,Tablets,,Laptops,Tablets,Tablets,
Gaming,Electronics,Consoles,PC Gaming,,,Consoles,PC Gaming,,
Computers & Tablets,Electronics,Tablets,Laptops,Tablets,,Tablets,Laptops,Tablets,
Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,
Audio,Electronics,Speakers,Speakers,,,Speakers,Speakers,,
Audio,Electronics,Headphones,Speakers,,,Headphones,Speakers,,
Audio,Electronics,Speakers,Headphones,,,Speakers,Headphones,,
Gaming,Electronics,PC Gaming,PC Gaming,,,PC Gaming,PC Gaming,,
Computers & Tablets,Electronics,Laptops,Laptops,Monitors,,Laptops,Laptops,Monitors,
Computers & Tablets,Electronics,Laptops,Tablets,Tablets,,Laptops,Tablets,Tablets,
Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,
Computers & Tablets,Electronics,Monitors,Laptops,Monitors,,Monitors,Laptops,Monitors,
Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,
Gaming,Electronics,PC Gaming,PC Gaming,,,PC Gaming,PC Gaming,,
Computers & Tablets,Electronics,Laptops,Laptops,Monitors,,Laptops,Laptops,Monitors,
Audio,Electronics,Speakers,Speakers,,,Speakers,Speakers,,
Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,
Computers & Tablets,Electronics,Monitors,Tablets,Laptops,,Monitors,Tablets,Laptops,
Computers & Tablets,Electronics,Tablets,Tablets,Laptops,,Tablets,Tablets,Laptops,
Cameras & Drones,Electronics,Digital Cameras,Digital Cameras,,,Digital Cameras,Digital Cameras,,
Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,
Gaming,Electronics,Consoles,PC Gaming,,,Consoles,PC Gaming,,
Audio,Electronics,Speakers,Headphones,,,Speakers,Headphones,,
Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,
Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,
Cameras & Drones,Electronics,Digital Cameras,Digital Cameras,,,Digital Cameras,Digital Cameras,,
Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,
Cameras & Drones,Electronics,Digital Cameras,Drones,,,Digital Cameras,Drones,,
Audio,Electronics,Headphones,Headphones,,,Headphones,Headphones,,
Cameras & Drones,Electronics,Digital Cameras,Digital Cameras,,,Digital Cameras,Digital Cameras,,
Wearable Technology,Electronics,Smartwatches,Smartwatches,,,Smartwatches,Smartwatches,,
Computers & Tablets,Electronics,Tablets,Monitors,Monitors,,Tablets,Monitors,Monitors,
Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,
Audio,Electronics,Speakers,Speakers,,,Speakers,Speakers,,
Cameras & Drones,Electronics,Drones,Digital Cameras,,,Drones,Digital Cameras,,
Cameras & Drones,Electronics,Digital Cameras,Drones,,,Digital Cameras,Drones,,
Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,
Wearable Technology,Electronics,Smartwatches,Fitness Trackers,,,Smartwatches,Fitness Trackers,,
Computers & Tablets,Electronics,Monitors,Tablets,Monitors,,Monitors,Tablets,Monitors,
Wearable Technology,Electronics,Smartwatches,Smartwatches,,,Smartwatches,Smartwatches,,
Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,
Computers & Tablets,Electronics,Tablets,Monitors,Laptops,,Tablets,Monitors,Laptops,
Computers & Tablets,Electronics,Monitors,Laptops,Laptops,,Monitors,Laptops,Laptops,
Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,
Cameras & Drones,Electronics,Drones,Digital Cameras,,,Drones,Digital Cameras,,
Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,
Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,
Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,
Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,
Cameras & Drones,Electronics,Digital Cameras,Drones,,,Digital Cameras,Drones,,
Audio,Electronics,Headphones,Speakers,,,Headphones,Speakers,,
Wearable Technology,Electronics,Smartwatches,Fitness Trackers,,,Smartwatches,Fitness Trackers,,
Wearable Technology,Electronics,Smartwatches,Fitness Trackers,,,Smartwatches,Fitness Trackers,,
Wearable Technology,Electronics,Smartwatches,Fitness Trackers,,,Smartwatches,Fitness Trackers,,
Computers & Tablets,Electronics,Monitors,Tablets,Monitors,,Monitors,Tablets,Monitors,
Cameras & Drones,Electronics,Digital Cameras,Drones,,,Digital Cameras,Drones,,
Audio,Electronics,Speakers,Speakers,,,Speakers,Speakers,,
Audio,Electronics,Headphones,Headphones,,,Headphones,Headphones,,
Computers & Tablets,Electronics,Laptops,Monitors,Monitors,,Laptops,Monitors,Monitors,
Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,
Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,
Wearable Technology,Electronics,Smartwatches,Smartwatches,,,Smartwatches,Smartwatches,,
Wearable Technology,Electronics,Smartwatches,Smartwatches,,,Smartwatches,Smartwatches,,
Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,
Wearable Technology,Electronics,Smartwatches,Smartwatches,,,Smartwatches,Smartwatches,,
Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,
Audio,Electronics,Speakers,Headphones,,,Speakers,Headphones,,
Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,
Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,
Gaming,Electronics,PC Gaming,Consoles,,,PC Gaming,Consoles,,
Computers & Tablets,Electronics,Monitors,Tablets,Monitors,,Monitors,Tablets,Monitors,
Gaming,Electronics,Consoles,PC Gaming,,,Consoles,PC Gaming,,
Computers & Tablets,Electronics,Monitors,Monitors,Laptops,,Monitors,Monitors,Laptops,
Computers & Tablets,Electronics,Tablets,Laptops,Tablets,,Tablets,Laptops,Tablets,
Gaming,Electronics,Consoles,PC Gaming,,,Consoles,PC Gaming,,
